transaction_id,date,amount,vendor,department,account_type,payment_method,employee,invoice_id,fraud_label,fraud_type,vendor_transaction_count,vendor_avg_amount,amount_deviation,is_round_number,transactions_per_day_vendor,is_duplicate_invoice
TX-000000,2024-02-10 07:03:00,1062.89,Vendor_083,Sales,Consulting,ACH,Emp_068,INV-Vendor_004-611964,1,duplicate_invoice,25,2850.515,-1787.6249999999998,0,4,1
TX-000001,2024-02-01 14:45:00,1806.46,Vendor_019,Operations,Payroll,ACH,Emp_097,INV-Vendor_019-357000,0,normal,31,2977.7130705628747,-1171.2530705628747,0,10,0
TX-000002,2024-01-08 20:50:00,1384.19,Vendor_058,Finance,Consulting,ACH,Emp_099,INV-Vendor_058-314188,0,normal,34,2718.410294117647,-1334.220294117647,0,2,0
TX-000003,2024-01-12 20:59:00,3575.54,Vendor_020,Finance,Operations,Check,Emp_010,INV-Vendor_020-976125,0,normal,37,4048.926765951174,-473.38676595117386,0,5,0
TX-000004,2024-01-12 11:09:00,2052.15,Vendor_097,Legal,IT,Check,Emp_081,INV-Vendor_097-328885,0,normal,24,2534.625652173913,-482.47565217391275,0,5,0
TX-000005,2024-01-29 09:48:00,3592.44,Vendor_030,Operations,Supplies,Card,Emp_077,INV-Vendor_030-687556,0,normal,23,3033.8827608649813,558.5572391350188,0,7,0
TX-000006,2024-02-19 03:49:00,3318.87,Vendor_015,Finance,Operations,Card,Emp_063,INV-Vendor_015-601891,0,normal,31,2923.1236666666664,395.7463333333335,0,1,0
TX-000007,2024-02-17 13:55:00,11399.165321549533,Vendor_NEW_7,HR,Consulting,ACH,Emp_015,INV-Vendor_063-925018,1,new_vendor_high,1,11399.165321549533,0.0,0,4,0
TX-000008,2024-01-21 23:22:00,3549.95,Vendor_004,Sales,Supplies,Card,Emp_054,INV-Vendor_004-219354,0,normal,30,3943.4157484248335,-393.4657484248337,0,2,0
TX-000009,2024-02-21 10:54:00,3547.14,Vendor_008,Engineering,Supplies,Card,Emp_032,INV-Vendor_008-658132,0,normal,38,2659.1583783783785,887.9816216216213,0,12,0
TX-000010,2024-02-21 17:10:00,4720.28,Vendor_039,HR,Supplies,Card,Emp_115,INV-Vendor_039-523510,0,normal,23,2600.143043478261,2120.1369565217387,0,2,0
TX-000011,2024-01-15 02:05:00,810.97,Vendor_080,Sales,Payroll,ACH,Emp_054,INV-Vendor_080-695829,0,normal,29,2652.113793103448,-1841.1437931034482,0,1,0
TX-000012,2024-02-15 02:58:00,12206.57989441335,Vendor_NEW_12,Support,Operations,ACH,Emp_046,INV-Vendor_002-950628,1,new_vendor_high,1,12206.57989441335,0.0,0,4,0
