transaction_id,date,amount,vendor,department,account_type,payment_method,employee,invoice_id,fraud_label,fraud_type
TX-000001,2024-01-01 08:13:00,3211.37,Vendor_018,Legal,Travel,ACH,Emp_080,INV-2024-0000007,0,normal
TX-000002,2024-01-01 09:19:00,7063.0,Vendor_031,Support,Consulting,Check,Emp_120,INV-2024-0005250,0,normal
TX-000003,2024-01-01 10:08:00,2810.17,Vendor_054,Operations,IT,Check,Emp_075,INV-2024-0000003,0,normal
TX-000004,2024-01-01 10:30:00,1188.15,Vendor_070,Sales,Consulting,ACH,Emp_099,INV-2024-0000022,0,normal
TX-000005,2024-01-01 10:35:00,4106.92,Vendor_040,HR,Supplies,ACH,Emp_021,INV-2024-0000014,0,normal
TX-000006,2024-01-01 10:48:00,1856.47,Vendor_033,Support,Travel,Check,Emp_117,INV-2024-0000001,0,normal
TX-000007,2024-01-01 11:47:00,1880.98,Vendor_007,Finance,Payroll,Card,Emp_011,INV-2024-0000033,0,normal
TX-000008,2024-01-01 11:47:00,3630.74,Vendor_048,Support,Consulting,Card,Emp_119,INV-2024-0000028,0,normal
TX-000009,2024-01-01 12:12:00,1424.41,Vendor_066,Support,IT,ACH,Emp_107,INV-2024-0000005,0,normal
TX-000010,2024-01-01 12:17:00,3295.91,Vendor_115,Operations,IT,Card,Emp_074,INV-2024-0000019,0,normal
TX-000011,2024-01-01 12:21:00,931.75,Vendor_009,Operations,Operations,Check,Emp_067,INV-2024-0000031,0,normal
TX-000012,2024-01-01 12:57:00,2036.1,Vendor_103,Legal,Operations,ACH,Emp_077,INV-2024-0000035,0,normal
TX-000013,2024-01-01 12:58:00,1880.3,Vendor_055,IT,Supplies,Wire,Emp_044,INV-2024-0000021,0,normal
TX-000014,2024-01-01 13:03:00,1962.69,Vendor_108,Marketing,Operations,ACH,Emp_059,INV-2024-0000015,0,normal
TX-000015,2024-01-01 13:06:00,1625.24,Vendor_070,Sales,Consulting,Check,Emp_101,INV-2024-0000023,0,normal
TX-000016,2024-01-01 13:06:00,4117.11,Vendor_073,Legal,IT,Check,Emp_090,INV-2024-0000020,0,normal
TX-000017,2024-01-01 13:08:00,1566.59,Vendor_066,Legal,Travel,ACH,Emp_084,INV-2024-0000029,0,normal
TX-000018,2024-01-01 13:09:00,1089.56,Vendor_074,Operations,Consulting,Card,Emp_065,INV-2024-0000013,0,normal
TX-000019,2024-01-01 14:05:00,2108.53,Vendor_040,HR,IT,Card,Emp_022,INV-2024-0000034,0,normal
TX-000020,2024-01-01 14:33:00,764.59,Vendor_082,Marketing,Consulting,Check,Emp_046,INV-2024-0000012,0,normal
TX-000021,2024-01-01 14:42:00,1006.71,Vendor_050,Finance,Travel,Card,Emp_009,INV-2024-0000009,0,normal
TX-000022,2024-01-01 14:47:00,1044.02,Vendor_014,HR,Supplies,ACH,Emp_018,INV-2024-0000004,0,normal
TX-000023,2024-01-01 14:54:00,1464.4,Vendor_050,Finance,Travel,ACH,Emp_011,INV-2024-0000024,0,normal
TX-000024,2024-01-01 15:10:00,1508.57,Vendor_026,HR,Travel,ACH,Emp_022,INV-2024-0000010,0,normal
TX-000025,2024-01-01 15:23:00,1299.85,Vendor_017,Operations,Payroll,Check,Emp_074,INV-2024-0000011,0,normal
TX-000026,2024-01-01 15:24:00,5594.3,Vendor_096,Sales,Operations,Card,Emp_105,INV-2024-0000006,0,normal
TX-000027,2024-01-01 15:25:00,1643.92,Vendor_027,Sales,Operations,ACH,Emp_092,INV-2024-0000016,0,normal
TX-000028,2024-01-01 15:33:00,2270.65,Vendor_005,Legal,IT,Check,Emp_081,INV-2024-0000008,0,normal
TX-000029,2024-01-01 15:47:00,2388.66,Vendor_104,Sales,Payroll,Wire,Emp_099,INV-2024-0000025,0,normal
TX-000030,2024-01-01 16:41:00,1306.87,Vendor_007,Finance,Payroll,Card,Emp_014,INV-2024-0000017,0,normal
TX-000031,2024-01-01 16:54:00,974.11,Vendor_116,HR,Consulting,ACH,Emp_016,INV-2024-0000032,0,normal
TX-000032,2024-01-01 17:11:00,2338.59,Vendor_027,Sales,Operations,ACH,Emp_091,INV-2024-0000030,0,normal
TX-000033,2024-01-01 17:47:00,2370.03,Vendor_035,Legal,IT,Check,Emp_078,INV-2024-0000026,0,normal
TX-000034,2024-01-01 18:26:00,2073.19,Vendor_076,Support,Travel,Card,Emp_120,INV-2024-0000018,0,normal
TX-000035,2024-01-01 18:28:00,5261.73,Vendor_107,Support,IT,Check,Emp_118,INV-2024-0000027,0,normal
TX-000036,2024-01-01 18:46:00,5921.18,Vendor_096,Sales,Operations,Wire,Emp_101,INV-2024-0000002,0,normal
TX-000037,2024-01-01 19:11:00,1188.9,Vendor_007,Finance,Payroll,Card,Emp_014,INV-2024-0005386,1,same_day_burst
TX-000038,2024-01-02 00:06:00,13068.04,Vendor_073,Legal,IT,Wire,Emp_090,INV-2024-0005377,1,low_history_high_amount
TX-000039,2024-01-02 01:47:00,6856.07,Vendor_104,Sales,Payroll,Check,Emp_099,INV-2024-0005763,1,low_history_high_amount
TX-000040,2024-01-02 07:50:00,2314.33,Vendor_033,Support,Payroll,Wire,Emp_109,INV-2024-0000056,0,normal
TX-000041,2024-01-02 08:13:00,10027.41,Vendor_018,Legal,Travel,Card,Emp_080,INV-2024-0005558,1,low_history_high_amount
TX-000042,2024-01-02 08:20:00,6266.49,Vendor_088,Sales,IT,Card,Emp_103,INV-2024-0000068,0,normal
TX-000043,2024-01-02 08:47:00,3201.72,Vendor_014,HR,Supplies,Check,Emp_018,INV-2024-0005522,1,low_history_high_amount
TX-000044,2024-01-02 09:01:00,10155.85,Vendor_110,Legal,Travel,Wire,Emp_082,INV-2024-0000060,0,normal
TX-000045,2024-01-02 10:14:00,5638.98,Vendor_095,Legal,Consulting,Card,Emp_082,INV-2024-0000048,0,normal
TX-000046,2024-01-02 10:24:00,860.51,Vendor_032,Operations,Travel,ACH,Emp_062,INV-2024-0000059,0,normal
TX-000047,2024-01-02 10:40:00,846.88,Vendor_068,Sales,Travel,ACH,Emp_105,INV-2024-0000040,0,normal
TX-000048,2024-01-02 10:40:00,1854.16,Vendor_007,Sales,Consulting,ACH,Emp_097,INV-2024-0000054,0,normal
TX-000049,2024-01-02 11:00:00,7590.27,Vendor_096,Sales,Operations,Wire,Emp_101,INV-2024-0000051,0,normal
TX-000050,2024-01-02 11:11:00,7213.98,Vendor_027,Sales,Operations,Check,Emp_091,INV-2024-0005728,1,low_history_high_amount
TX-000051,2024-01-02 11:16:00,295.26,Vendor_032,HR,Travel,Check,Emp_018,INV-2024-0000049,0,normal
TX-000052,2024-01-02 11:30:00,5914.03,Vendor_060,Support,Travel,Card,Emp_109,INV-2024-0000066,0,normal
TX-000053,2024-01-02 11:56:00,5329.2,Vendor_051,HR,Payroll,Check,Emp_025,INV-2024-0000053,0,normal
TX-000054,2024-01-02 12:16:00,3751.11,Vendor_114,IT,IT,Check,Emp_039,INV-2024-0000041,0,normal
TX-000055,2024-01-02 12:22:00,616.04,Vendor_082,Marketing,Consulting,Check,Emp_056,INV-2024-0000044,0,normal
TX-000056,2024-01-02 12:33:00,2078.76,Vendor_082,Marketing,Consulting,Card,Emp_046,INV-2024-0005439,1,low_history_high_amount
TX-000057,2024-01-02 12:37:00,1794.99,Vendor_076,Marketing,Supplies,Card,Emp_047,INV-2024-0000039,0,normal
TX-000058,2024-01-02 12:39:00,6301.32,Vendor_006,Sales,IT,Card,Emp_093,INV-2024-0000038,0,normal
TX-000059,2024-01-02 12:41:00,2918.43,Vendor_052,HR,Operations,Check,Emp_021,INV-2024-0000058,0,normal
TX-000060,2024-01-02 12:47:00,3586.01,Vendor_048,Support,Consulting,ACH,Emp_106,INV-2024-0000028,1,duplicate_invoice
TX-000061,2024-01-02 13:32:00,1439.95,Vendor_103,Finance,Operations,ACH,Emp_004,INV-2024-0000062,0,normal
TX-000062,2024-01-02 13:52:00,1017.02,Vendor_094,IT,Consulting,Check,Emp_038,INV-2024-0000050,0,normal
TX-000063,2024-01-02 13:56:00,2383.72,Vendor_108,Marketing,Travel,Wire,Emp_057,INV-2024-0000067,0,normal
TX-000064,2024-01-02 14:07:00,5541.39,Vendor_060,IT,Consulting,ACH,Emp_041,INV-2024-0000047,0,normal
TX-000065,2024-01-02 14:09:00,1523.71,Vendor_103,Finance,Operations,Wire,Emp_015,INV-2024-0000061,0,normal
TX-000066,2024-01-02 14:09:00,2879.69,Vendor_005,Legal,Supplies,ACH,Emp_086,INV-2024-0000057,0,normal
TX-000067,2024-01-02 14:10:00,1212.61,Vendor_116,HR,IT,Check,Emp_021,INV-2024-0000046,0,normal
TX-000068,2024-01-02 14:43:00,5333.69,Vendor_049,Legal,Consulting,ACH,Emp_089,INV-2024-0000036,0,normal
TX-000069,2024-01-02 15:25:00,6167.91,Vendor_060,Finance,Payroll,Wire,Emp_010,INV-2024-0000043,0,normal
TX-000070,2024-01-02 15:31:00,2609.9,Vendor_114,IT,IT,Check,Emp_042,INV-2024-0000063,0,normal
TX-000071,2024-01-02 15:47:00,2308.22,Vendor_101,HR,IT,Check,Emp_018,INV-2024-0000052,0,normal
TX-000072,2024-01-02 16:09:00,1030.04,Vendor_083,Operations,Supplies,Wire,Emp_066,INV-2024-0000065,0,normal
TX-000073,2024-01-02 16:11:00,1970.99,Vendor_027,Sales,Operations,Wire,Emp_096,INV-2024-0000045,0,normal
TX-000074,2024-01-02 16:13:00,1999.92,Vendor_005,Legal,Supplies,ACH,Emp_082,INV-2024-0000037,0,normal
TX-000075,2024-01-02 16:34:00,1033.04,Vendor_032,HR,Travel,Check,Emp_023,INV-2024-0000064,0,normal
TX-000076,2024-01-02 17:33:00,5186.67,Vendor_112,Sales,Travel,ACH,Emp_105,INV-2024-0000055,0,normal
TX-000077,2024-01-02 18:38:00,3840.46,Vendor_054,Operations,IT,ACH,Emp_075,INV-2024-0000042,0,normal
TX-000078,2024-01-02 21:50:00,1088.66,Vendor_032,HR,Travel,Check,Emp_023,INV-2024-0005528,1,same_day_burst
TX-000079,2024-01-02 23:54:00,6791.71,Vendor_116,HR,Consulting,Wire,Emp_016,INV-2024-0005584,1,low_history_high_amount
TX-000080,2024-01-03 07:01:00,901.33,Vendor_082,Marketing,Consulting,Check,Emp_046,INV-2024-0000086,0,normal
TX-000081,2024-01-03 07:12:00,2431.52,Vendor_053,Support,Operations,Check,Emp_106,INV-2024-0000091,0,normal
TX-000082,2024-01-03 07:32:00,1518.41,Vendor_056,Marketing,Travel,Check,Emp_058,INV-2024-0000087,0,normal
TX-000083,2024-01-03 08:01:00,40606.36,Vendor_110,Legal,Travel,Card,Emp_082,INV-2024-0005408,1,low_history_high_amount
TX-000084,2024-01-03 08:24:00,1606.33,Vendor_113,Operations,Consulting,Card,Emp_068,INV-2024-0000078,0,normal
TX-000085,2024-01-03 08:25:00,6114.31,Vendor_114,IT,IT,Card,Emp_032,INV-2024-0005177,0,normal
TX-000086,2024-01-03 08:31:00,4458.84,Vendor_051,HR,Payroll,Check,Emp_029,INV-2024-0005189,0,normal
TX-000087,2024-01-03 09:35:00,1251.21,Vendor_063,Legal,Operations,Wire,Emp_083,INV-2024-0000079,0,normal
TX-000088,2024-01-03 09:47:00,1048.29,Vendor_014,HR,Supplies,ACH,Emp_017,INV-2024-0000004,1,duplicate_invoice
TX-000089,2024-01-03 10:10:00,5370.95,Vendor_095,Legal,Consulting,Card,Emp_076,INV-2024-0000090,0,normal
TX-000090,2024-01-03 10:24:00,2258.05,Vendor_091,Support,IT,Check,Emp_106,INV-2024-0000080,0,normal
TX-000091,2024-01-03 10:31:00,5122.04,Vendor_092,Sales,Payroll,Wire,Emp_099,INV-2024-0000069,0,normal
TX-000092,2024-01-03 11:20:00,14379.71,Vendor_028,Marketing,Travel,Card,Emp_047,INV-2024-0000075,0,normal
