feature,importance
is_duplicate_invoice,0.17357573
invoice_gap_days,0.16136254
invoice_count,0.1326724
amount_to_vendor_avg_ratio,0.1149661
transactions_per_day_vendor,0.0608503
posting_hour,0.038255084
is_round_number,0.031520106
vendor_day_running_total_prior,0.025609577
amount_deviation_signed,0.022841254
days_since_vendor_last_payment,0.017863274
days_since_employee_last_payment,0.01700584
fuzzy_invoice_match_count,0.016312491
is_new_vendor_account_type,0.013373355
is_new_vendor_department_pair,0.012880213
vendor_account_type_count,0.011068074
max_invoice_similarity,0.010974695
employee_vendor_count,0.0096637495
is_weekend,0.009091248
vendor_transaction_count,0.0087055955
department_Support,0.0074930447
vendor_payment_method_count,0.0066284267
employee_department_count,0.006162725
account_type_Consulting,0.0057176314
amount_deviation_abs,0.005438758
vendor_department_count,0.0051268046
posting_weekday,0.0050504995
department_Sales,0.004957384
vendor_amount_zscore,0.0043328134
vendor_avg_amount,0.004271975
amount,0.0038636513
payment_method_ACH,0.0037751733
vendor_day_running_total_with_current,0.0037563476
payment_method_Check,0.0036028724
account_type_IT,0.0036008838
crosses_approval_with_same_day_vendor,0.0034989815
department_amount_deviation,0.0033147915
account_type_Supplies,0.0032188294
payment_method_Card,0.0031678644
account_type_Payroll,0.002989976
department_HR,0.0029822828
department_avg_amount,0.002930363
payment_method_Wire,0.0026171268
department_Marketing,0.0025019066
department_Finance,0.0024481413
account_type_Travel,0.0023121545
department_Operations,0.0018023927
department_Legal,0.0017554852
account_type_Operations,0.0016928114
is_new_vendor_payment_method,0.00039618596
department_IT,0.0
is_just_below_approval,0.0
