transaction_id,date,amount,vendor,department,account_type,payment_method,employee,invoice_id,fraud_label,fraud_type
TX-000001,2024-01-01 08:11:00,3919.42,Vendor_037,Sales,Supplies,Check,Emp_103,INV-2024-0000015,0,normal
TX-000002,2024-01-01 08:21:00,849.54,Vendor_010,Finance,IT,Wire,Emp_007,INV-2024-0000003,0,normal
TX-000003,2024-01-01 08:28:00,6180.68,Vendor_120,HR,Travel,Card,Emp_030,INV-2024-0000014,0,normal
TX-000004,2024-01-01 09:14:00,2846.73,Vendor_104,Sales,Operations,Wire,Emp_103,INV-2024-0000006,0,normal
TX-000005,2024-01-01 09:20:00,5212.29,Vendor_015,Support,Supplies,ACH,Emp_118,INV-2024-0000023,0,normal
TX-000006,2024-01-01 10:23:00,731.92,Vendor_108,Operations,IT,Card,Emp_063,INV-2024-0000010,0,normal
TX-000007,2024-01-01 10:46:00,2210.65,Vendor_006,Finance,Operations,ACH,Emp_005,INV-2024-0000024,0,normal
TX-000008,2024-01-01 10:57:00,1397.55,Vendor_066,Support,Consulting,ACH,Emp_107,INV-2024-0000018,0,normal
TX-000009,2024-01-01 11:07:00,3434.28,Vendor_063,Finance,Supplies,Wire,Emp_009,INV-2024-0000011,0,normal
TX-000010,2024-01-01 11:12:00,1206.66,Vendor_008,Finance,Consulting,Wire,Emp_011,INV-2024-0000020,0,normal
TX-000011,2024-01-01 11:15:00,5682.08,Vendor_038,Operations,IT,Check,Emp_061,INV-2024-0000001,0,normal
TX-000012,2024-01-01 11:26:00,1093.93,Vendor_079,Finance,Operations,ACH,Emp_012,INV-2024-0000021,0,normal
TX-000013,2024-01-01 11:31:00,1204.98,Vendor_070,Support,Operations,Wire,Emp_116,INV-2024-0000022,0,normal
TX-000014,2024-01-01 11:44:00,2347.14,Vendor_114,HR,Consulting,Wire,Emp_019,INV-2024-0000031,0,normal
TX-000015,2024-01-01 12:05:00,2880.41,Vendor_095,Finance,Payroll,Check,Emp_004,INV-2024-0000026,0,normal
TX-000016,2024-01-01 12:10:00,1049.78,Vendor_017,IT,Operations,Card,Emp_042,INV-2024-0000009,0,normal
TX-000017,2024-01-01 12:16:00,6147.97,Vendor_082,Finance,Travel,ACH,Emp_009,INV-2024-0000030,0,normal
TX-000018,2024-01-01 12:20:00,1177.15,Vendor_046,Sales,Travel,Check,Emp_093,INV-2024-0000033,0,normal
TX-000019,2024-01-01 12:23:00,739.8,Vendor_108,Operations,IT,Card,Emp_063,INV-2026-0000910,1,fuzzy_duplicate
TX-000020,2024-01-01 12:42:00,3381.65,Vendor_100,IT,Supplies,Wire,Emp_036,INV-2024-0000025,0,normal
TX-000021,2024-01-01 12:45:00,4869.38,Vendor_106,Legal,Consulting,Wire,Emp_085,INV-2024-0000028,0,normal
TX-000022,2024-01-01 12:56:00,1872.3,Vendor_051,Legal,Travel,ACH,Emp_080,INV-2024-0000005,0,normal
TX-000023,2024-01-01 13:17:00,6050.0,Vendor_097,Legal,IT,Check,Emp_088,INV-2024-0000013,0,normal
TX-000024,2024-01-01 13:20:00,1877.28,Vendor_056,Legal,IT,ACH,Emp_078,INV-2024-0000007,0,normal
TX-000025,2024-01-01 13:21:00,1551.23,Vendor_008,Finance,Travel,Wire,Emp_006,INV-2024-0000012,0,normal
TX-000026,2024-01-01 13:29:00,2087.36,Vendor_007,HR,Consulting,ACH,Emp_030,INV-2024-0000002,0,normal
TX-000027,2024-01-01 14:01:00,764.24,Vendor_111,Sales,Consulting,Wire,Emp_096,INV-2024-0000019,0,normal
TX-000028,2024-01-01 14:06:00,3116.8,Vendor_006,Finance,Travel,Check,Emp_015,INV-2024-0000027,0,normal
TX-000029,2024-01-01 14:37:00,3951.44,Vendor_015,Support,Supplies,Card,Emp_114,INV-2024-0000029,0,normal
TX-000030,2024-01-01 15:16:00,5757.22,Vendor_120,Sales,Travel,Wire,Emp_103,INV-2024-0000008,0,normal
TX-000031,2024-01-01 15:23:00,2737.04,Vendor_118,Operations,Payroll,ACH,Emp_072,INV-2024-0000004,0,normal
TX-000032,2024-01-01 15:39:00,2554.91,Vendor_007,Marketing,Consulting,Check,Emp_047,INV-2024-0000017,0,normal
TX-000033,2024-01-01 15:54:00,1013.21,Vendor_053,Sales,Supplies,Wire,Emp_102,INV-2024-0000032,0,normal
TX-000034,2024-01-01 15:54:00,1826.18,Vendor_008,Finance,Travel,Wire,Emp_006,INV-2024-0002028,1,same_day_burst
TX-000035,2024-01-01 16:39:00,6534.73,Vendor_007,Marketing,Consulting,Wire,Emp_047,INV-2024-0002289,1,low_history_high_amount
TX-000036,2024-01-01 18:41:00,2276.21,Vendor_042,IT,Operations,Wire,Emp_043,INV-2024-0000016,0,normal
TX-000037,2024-01-01 20:05:00,12086.55,Vendor_095,Finance,Payroll,Card,Emp_004,INV-2024-0002074,1,low_history_high_amount
TX-000038,2024-01-02 05:54:00,1009.71,Vendor_053,Sales,Supplies,Wire,Emp_100,INV-2024-0000032,1,duplicate_invoice
TX-000039,2024-01-02 08:01:00,632.76,Vendor_096,Finance,IT,Check,Emp_007,INV-2024-0000057,0,normal
TX-000040,2024-01-02 09:22:00,696.64,Vendor_062,HR,IT,ACH,Emp_026,INV-2024-0000052,0,normal
TX-000041,2024-01-02 09:28:00,1456.26,Vendor_053,Sales,Supplies,Card,Emp_092,INV-2024-0000035,0,normal
TX-000042,2024-01-02 09:30:00,1344.77,Vendor_070,Support,Supplies,ACH,Emp_114,INV-2024-0000047,0,normal
TX-000043,2024-01-02 09:50:00,1307.17,Vendor_092,Support,Payroll,Card,Emp_106,INV-2024-0000058,0,normal
TX-000044,2024-01-02 10:12:00,913.41,Vendor_074,Support,IT,Card,Emp_111,INV-2024-0000051,0,normal
TX-000045,2024-01-02 10:15:00,831.96,Vendor_110,Legal,Travel,ACH,Emp_090,INV-2024-0000048,0,normal
TX-000046,2024-01-02 11:00:00,1278.06,Vendor_005,Sales,Consulting,Card,Emp_092,INV-2024-0000050,0,normal
TX-000047,2024-01-02 11:06:00,517.24,Vendor_036,HR,Operations,Card,Emp_023,INV-2024-0000036,0,normal
TX-000048,2024-01-02 11:12:00,3170.97,Vendor_060,Support,Consulting,Check,Emp_119,INV-2024-0000053,0,normal
TX-000049,2024-01-02 11:28:00,4510.35,Vendor_014,Sales,Travel,Check,Emp_092,INV-2024-0000049,0,normal
TX-000050,2024-01-02 11:57:00,3621.59,Vendor_007,Marketing,Consulting,Check,Emp_051,INV-2024-0000039,0,normal
TX-000051,2024-01-02 12:05:00,858.39,Vendor_107,Finance,IT,Card,Emp_014,INV-2024-0000043,0,normal
TX-000052,2024-01-02 12:19:00,4561.24,Vendor_047,IT,Travel,Wire,Emp_041,INV-2024-0000041,0,normal
TX-000053,2024-01-02 12:28:00,1563.32,Vendor_011,Marketing,Supplies,Check,Emp_056,INV-2024-0000046,0,normal
TX-000054,2024-01-02 12:37:00,4747.43,Vendor_101,Operations,Operations,ACH,Emp_065,INV-2024-0000045,0,normal
