transaction_id,date,amount,vendor,department,account_type,payment_method,employee,invoice_id,fraud_label,fraud_type
TX-000001,2024-01-01 08:11:00,2211.81,Vendor_005,IT,Travel,Card,Emp_043,INV-2024-0000011,0,normal
TX-000002,2024-01-01 08:44:00,1270.21,Vendor_044,Operations,Operations,Card,Emp_072,INV-2024-0000028,0,normal
TX-000003,2024-01-01 09:23:00,4180.87,Vendor_081,Marketing,Travel,Wire,Emp_054,INV-2024-0000002,0,normal
TX-000004,2024-01-01 09:29:00,10838.18,Vendor_090,Finance,Consulting,Wire,Emp_006,INV-2024-0000022,0,normal
TX-000005,2024-01-01 10:01:00,2081.1,Vendor_067,Operations,IT,Card,Emp_067,INV-2024-0000016,0,normal
TX-000006,2024-01-01 10:30:00,7925.55,Vendor_091,Finance,Payroll,ACH,Emp_002,INV-2024-0000027,0,normal
TX-000007,2024-01-01 10:35:00,1160.83,Vendor_053,Finance,Supplies,ACH,Emp_012,INV-2024-0000009,0,normal
TX-000008,2024-01-01 10:46:00,953.13,Vendor_097,Marketing,Consulting,Check,Emp_054,INV-2024-0000017,0,normal
TX-000009,2024-01-01 11:03:00,2186.09,Vendor_017,Marketing,IT,Wire,Emp_053,INV-2024-0000012,0,normal
TX-000010,2024-01-01 11:09:00,2562.94,Vendor_025,Finance,Consulting,Check,Emp_006,INV-2024-0000024,0,normal
TX-000011,2024-01-01 11:21:00,1059.77,Vendor_012,IT,Consulting,Check,Emp_035,INV-2024-0000023,0,normal
TX-000012,2024-01-01 11:24:00,1766.49,Vendor_115,Sales,Supplies,Card,Emp_100,INV-2024-0000021,0,normal
TX-000013,2024-01-01 11:43:00,3926.62,Vendor_085,Marketing,Travel,Card,Emp_047,INV-2024-0000004,0,normal
TX-000014,2024-01-01 11:54:00,2658.51,Vendor_098,Legal,Supplies,Card,Emp_080,INV-2024-0000018,0,normal
TX-000015,2024-01-01 12:09:00,1218.46,Vendor_107,IT,Operations,Card,Emp_033,INV-2024-0000026,0,normal
