transaction_id,date,amount,vendor,department,account_type,payment_method,employee,invoice_id,fraud_label,fraud_type
TX-000001,2024-01-01 07:00:00,605.1,Vendor_013,Legal,IT,ACH,Emp_079,INV-2024-0000027,0,normal
TX-000002,2024-01-01 07:03:00,1000.0,Vendor_067,Finance,Consulting,ACH,Emp_006,INV-2024-0000037,0,normal
TX-000003,2024-01-01 08:07:00,1591.18,Vendor_110,Operations,Consulting,Card,Emp_075,INV-2024-0000022,0,normal
TX-000004,2024-01-01 09:00:00,441.88,Vendor_067,Sales,Supplies,Check,Emp_097,INV-2024-0000012,0,normal
TX-000005,2024-01-01 09:06:00,1040.58,Vendor_056,Sales,Consulting,Card,Emp_093,INV-2024-0000011,0,normal
TX-000006,2024-01-01 09:18:00,1977.82,Vendor_070,Sales,Consulting,ACH,Emp_091,INV-2024-0000035,0,normal
TX-000007,2024-01-01 10:02:00,2467.9,Vendor_063,IT,Payroll,Card,Emp_035,INV-2024-0000016,0,normal
TX-000008,2024-01-01 10:43:00,1179.28,Vendor_002,IT,Supplies,Wire,Emp_040,INV-2024-0000036,0,normal
TX-000009,2024-01-01 10:45:00,7442.92,Vendor_044,Sales,IT,ACH,Emp_101,INV-2024-0000018,0,normal
TX-000010,2024-01-01 10:52:00,6593.33,Vendor_034,Sales,Travel,Card,Emp_097,INV-2024-0000040,0,normal
TX-000011,2024-01-01 11:07:00,843.52,Vendor_019,Operations,Travel,Wire,Emp_069,INV-2024-0000003,0,normal
TX-000012,2024-01-01 11:09:00,876.24,Vendor_052,Operations,Consulting,Wire,Emp_063,INV-2024-0000028,0,normal
TX-000013,2024-01-01 11:11:00,1307.29,Vendor_099,Marketing,Consulting,Card,Emp_058,INV-2024-0000007,0,normal
TX-000014,2024-01-01 11:13:00,638.8,Vendor_106,Support,Travel,ACH,Emp_120,INV-2024-0000034,0,normal
TX-000015,2024-01-01 11:15:00,906.92,Vendor_065,Support,Operations,ACH,Emp_108,INV-2024-0000009,0,normal
TX-000016,2024-01-01 11:18:00,2521.34,Vendor_058,HR,Operations,Wire,Emp_028,INV-2024-0000030,0,normal
TX-000017,2024-01-01 11:23:00,2460.43,Vendor_051,Legal,Operations,Check,Emp_076,INV-2024-0000013,0,normal
TX-000018,2024-01-01 11:27:00,1761.68,Vendor_023,IT,Supplies,Check,Emp_032,INV-2024-0000017,0,normal
TX-000019,2024-01-01 11:33:00,3605.65,Vendor_046,Marketing,IT,Wire,Emp_060,INV-2024-0000014,0,normal
TX-000020,2024-01-01 11:39:00,2139.66,Vendor_091,IT,Travel,Wire,Emp_036,INV-2024-0000006,0,normal
TX-000021,2024-01-01 12:15:00,10929.14,Vendor_060,Marketing,Payroll,Card,Emp_060,INV-2024-0000024,0,normal
TX-000022,2024-01-01 12:22:00,1520.24,Vendor_074,Operations,Travel,Check,Emp_070,INV-2024-0000023,0,normal
TX-000023,2024-01-01 12:36:00,944.51,Vendor_011,Marketing,Consulting,Wire,Emp_047,INV-2024-0000010,0,normal
TX-000024,2024-01-01 12:42:00,7127.79,Vendor_034,Sales,Supplies,ACH,Emp_101,INV-2024-0000038,0,normal
TX-000025,2024-01-01 12:43:00,1325.52,Vendor_091,IT,Payroll,ACH,Emp_033,INV-2024-0000019,0,normal
TX-000026,2024-01-01 12:50:00,3776.52,Vendor_097,Marketing,Supplies,Wire,Emp_051,INV-2024-0000025,0,normal
TX-000027,2024-01-01 13:08:00,651.8,Vendor_013,IT,IT,Card,Emp_041,INV-2024-0000020,0,normal
TX-000028,2024-01-01 13:11:00,1709.11,Vendor_049,Legal,IT,Wire,Emp_081,INV-2024-0000026,0,normal
TX-000029,2024-01-01 13:13:00,2242.2,Vendor_005,Support,Operations,Check,Emp_119,INV-2024-0000042,0,normal
TX-000030,2024-01-01 13:18:00,4484.21,Vendor_015,Marketing,Operations,Wire,Emp_049,INV-2024-0000021,0,normal
TX-000031,2024-01-01 13:21:00,1002.24,Vendor_043,Operations,Payroll,Check,Emp_065,INV-2024-0000008,0,normal
TX-000032,2024-01-01 13:47:00,2119.72,Vendor_084,Marketing,Supplies,ACH,Emp_049,INV-2024-0000039,0,normal
TX-000033,2024-01-01 14:12:00,3524.24,Vendor_021,Marketing,Payroll,Card,Emp_053,INV-2024-0000005,0,normal
TX-000034,2024-01-01 14:37:00,2587.21,Vendor_055,Operations,IT,ACH,Emp_073,INV-2024-0000002,0,normal
TX-000035,2024-01-01 14:38:00,2461.96,Vendor_064,Finance,Supplies,Wire,Emp_001,INV-2024-0000001,0,normal
TX-000036,2024-01-01 14:56:00,2187.73,Vendor_005,Marketing,Operations,Wire,Emp_054,INV-2024-0000041,0,normal
TX-000037,2024-01-01 14:58:00,3794.28,Vendor_033,Operations,Operations,Card,Emp_071,INV-2024-0000032,0,normal
TX-000038,2024-01-01 15:57:00,923.95,Vendor_091,IT,Payroll,ACH,Emp_036,INV-2024-0000029,0,normal
TX-000039,2024-01-01 16:07:00,4102.82,Vendor_039,Marketing,Consulting,Check,Emp_057,INV-2024-0000004,0,normal
TX-000040,2024-01-01 16:18:00,11588.14,Vendor_015,Marketing,Operations,Card,Emp_049,INV-2024-0002321,1,low_history_high_amount
TX-000041,2024-01-01 16:26:00,5664.12,Vendor_031,Finance,Supplies,Wire,Emp_014,INV-2024-0000033,0,normal
TX-000042,2024-01-01 18:15:00,1042.51,Vendor_029,IT,Supplies,Wire,Emp_041,INV-2024-0000015,0,normal
TX-000043,2024-01-01 18:36:00,746.45,Vendor_011,Marketing,Consulting,Check,Emp_053,INV-2024-0000031,0,normal
TX-000044,2024-01-02 08:09:00,3903.7,Vendor_026,IT,Consulting,Check,Emp_042,INV-2024-0000051,0,normal
TX-000045,2024-01-02 08:34:00,3864.18,Vendor_083,Finance,Payroll,Check,Emp_010,INV-2024-0000048,0,normal
TX-000046,2024-01-02 08:36:00,3705.74,Vendor_039,Marketing,Consulting,Wire,Emp_053,INV-2024-0000053,0,normal
TX-000047,2024-01-02 09:27:00,594.47,Vendor_013,Legal,IT,ACH,Emp_085,INV-2024-0000046,0,normal
TX-000048,2024-01-02 09:29:00,5009.89,Vendor_024,IT,Supplies,Wire,Emp_034,INV-2024-0000073,0,normal
TX-000049,2024-01-02 09:29:00,1917.09,Vendor_008,HR,Supplies,Wire,Emp_019,INV-2024-0000069,0,normal
TX-000050,2024-01-02 09:34:00,3624.87,Vendor_059,Marketing,Operations,Check,Emp_047,INV-2024-0000049,0,normal
TX-000051,2024-01-02 10:07:00,3802.73,Vendor_057,Finance,IT,Card,Emp_002,INV-2024-0000075,0,normal
TX-000052,2024-01-02 10:36:00,768.3,Vendor_011,Marketing,Consulting,Check,Emp_058,INV-2024-0000031,1,duplicate_invoice
TX-000053,2024-01-02 11:04:00,4107.35,Vendor_007,Support,Operations,ACH,Emp_120,INV-2024-0000047,0,normal
TX-000054,2024-01-02 11:14:00,3602.89,Vendor_077,IT,IT,ACH,Emp_031,INV-2024-0000064,0,normal
TX-000055,2024-01-02 11:42:00,13022.03,Vendor_096,IT,Payroll,ACH,Emp_036,INV-2024-0000045,0,normal
TX-000056,2024-01-02 11:42:00,1159.93,Vendor_029,Support,Supplies,Card,Emp_115,INV-2024-0000055,0,normal
TX-000057,2024-01-02 12:14:00,763.51,Vendor_108,Legal,Payroll,Check,Emp_079,INV-2024-0000063,0,normal
TX-000058,2024-01-02 12:18:00,17484.5,Vendor_015,Marketing,Operations,Card,Emp_049,INV-2024-0002401,1,low_history_high_amount
TX-000059,2024-01-02 12:21:00,280.69,Vendor_093,IT,IT,Check,Emp_033,INV-2024-0000062,0,normal
TX-000060,2024-01-02 12:24:00,564.59,Vendor_027,Support,Supplies,Card,Emp_108,INV-2024-0000072,0,normal
TX-000061,2024-01-02 12:39:00,2800.12,Vendor_063,IT,Supplies,Card,Emp_040,INV-2024-0000059,0,normal
TX-000062,2024-01-02 12:39:00,2975.43,Vendor_025,Marketing,Supplies,Check,Emp_050,INV-2024-0000077,0,normal
TX-000063,2024-01-02 12:40:00,942.45,Vendor_022,Sales,Supplies,Check,Emp_104,INV-2024-0000056,0,normal
TX-000064,2024-01-02 12:48:00,890.86,Vendor_014,Sales,Travel,Check,Emp_095,INV-2024-0000052,0,normal
TX-000065,2024-01-02 12:50:00,731.19,Vendor_067,Sales,Consulting,Check,Emp_104,INV-2024-0000066,0,normal
TX-000066,2024-01-02 13:13:00,2841.02,Vendor_061,HR,Payroll,Check,Emp_024,INV-2024-0000076,0,normal
TX-000067,2024-01-02 13:29:00,3398.26,Vendor_021,Marketing,Consulting,ACH,Emp_052,INV-2024-0000054,0,normal
